domain_name,representation,count,val_valid_rate,mean_plan_len,parsed_action_rate,mean_exec_prefix
blocksworld,anonymized,5,0.0,17.8,1.0,0.2
blocksworld,compact,5,0.0,12.2,1.0,0.8
blocksworld,standard,5,0.0,17.2,1.0,0.2
childsnack,anonymized,5,0.0,11.6,1.0,0.0
childsnack,compact,5,0.0,11.4,1.0,0.0
childsnack,standard,5,0.0,13.2,1.0,0.0
delivery,anonymized,5,0.0,0.0,0.0,
delivery,compact,5,0.0,0.0,0.0,
delivery,standard,5,0.0,0.0,0.0,
ferry,anonymized,5,0.0,14.8,1.0,0.0
ferry,compact,5,0.0,10.4,1.0,0.0
ferry,standard,5,0.0,15.2,1.0,0.0
floortile,anonymized,5,0.0,2.0,0.2,0.0
floortile,compact,5,0.0,31.6,0.2,0.0
floortile,standard,5,0.0,0.0,0.0,
gripper,anonymized,5,0.0,10.8,1.0,0.0
gripper,compact,5,0.0,9.0,1.0,0.2
gripper,standard,5,0.0,9.6,1.0,0.0
miconic,anonymized,125,0.136,33.272,1.0,1.088
miconic,compact,125,0.128,12.224,1.0,1.112
miconic,standard,124,0.13709677419354838,30.241935483870968,1.0,0.8629032258064516
rovers,anonymized,5,0.0,3.8,0.4,3.0
rovers,compact,5,0.0,9.4,1.0,0.6
rovers,standard,5,0.0,0.0,0.0,
satellite,anonymized,50,0.0,108.8,1.0,1.32
satellite,compact,50,0.0,90.76,1.0,1.36
satellite,standard,50,0.0,91.8,1.0,1.4
sokoban,anonymized,40,0.0,157.15,1.0,0.4
sokoban,compact,40,0.0,157.25,1.0,0.1
sokoban,standard,40,0.0,156.8,1.0,0.25
spanner,anonymized,5,0.0,11.0,1.0,0.0
spanner,compact,5,0.0,11.2,1.0,0.0
spanner,standard,5,0.0,10.4,1.0,0.0
transport,anonymized,125,0.0,16.68,1.0,1.896
transport,compact,125,0.0,13.192,1.0,1.616
transport,standard,125,0.0,15.64,1.0,1.448
